COMMUNITY,Location 1,CSR #,STATUS,SR TYPE,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
CUF,"220 ATKINSON ST
Cincinnati, OH
(39.12592472420573, -84.5186415113863)",SR12052389,INPROGRS,Pothole repair,Per caller there is a 2ft hole on Renshaw St off of Adkinson St,11/29/2012 12:00:00 AM,4:19 PM,RENSHAW ST & RENSHAW ST TERM W OF MOERLEIN AV - GJ1449733735,25,STANDARD,PHONE,10000020252,11/29/2012 12:00:00 AM,DSWEETEN,12/01/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1395891,416650,
CARTHAGE,"135 W SEYMOUR AV
Cincinnati, OH
(39.19568513401856, -84.48232688784321)",SR12052355,CLOSED  ,Pothole repair,ALL ALONG THE LENGTH OF FLINT AL. FROM FAIRPARK AVE. TO VAN KIRK AVE. MULTIPLE POT HOLES.,11/29/2012 12:00:00 AM,12:28 PM,FLINT AL & VAN KIRK AV,61,STANDARD,INTERNET,24000040108,11/29/2012 12:00:00 AM,CSRWEB,12/01/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,TMACK,1406668,441503,W 
PADDOCK HILLS,"1738 TENNESSEE AV
Cincinnati, OH
(39.16754534772173, -84.46889101672548)",SR12052301,CLOSED  ,Pothole repair,The pothole is ACROSS STREET from 1738 Tennessee Ave.,11/29/2012 12:00:00 AM,9:59 AM,1738 TENNESSEE AV CINC - GJ1867738445,63,STANDARD,INTERNET,11600030063,11/29/2012 12:00:00 AM,CSRWEB,12/01/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1410357,431402,
PLEASANT RIDGE,"2811 CYPRESS WY
Cincinnati, OH
(39.172095917190006, -84.43747769824199)",SR12052296,CLOSED  ,Pothole repair,please patrol the entire street for potholes ,11/29/2012 12:00:00 AM,9:34 AM,2811 CYPRESS WY - GJ2137738976 2811 Cypress Way,57.02,STANDARD,PHONE,12100030050,11/29/2012 12:00:00 AM,VBANKS,12/01/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1419286,432698,
PLEASANT RIDGE,"5359 INDIAN MOUND AV
Cincinnati, OH
(39.171907059563864, -84.43833205416985)",SR12052290,CLOSED  ,Pothole repair,several potholes on the street - needs partoling,11/29/2012 12:00:00 AM,8:55 AM,5359 INDIAN MOUND AV - GJ2127138992 5359 Indian Mound ave,57.02,HAZARDOUS,PHONE,12100030066,11/29/2012 12:00:00 AM,VBANKS,12/01/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1418939,432769,
COLLEGE HILL,"6098 BELMONT AV
Cincinnati, OH
(39.20103610009289, -84.5630949992946)",SR12052246,CLOSED  ,Pothole repair,this hole has NOT been filled even thought I got an email saying it was filled is it big easy to find,11/28/2012 12:00:00 AM,3:01 PM,6098 BELMONT AV CINC - GJ1044541918,82.02,STANDARD,INTERNET,22800020322,11/28/2012 12:00:00 AM,CSRWEB,11/30/2012 12:00:00 AM,,12/02/2012 12:00:00 AM,12/02/2012 12:00:00 AM,MPOTTER,1383954,444121,
EVANSTON,"1825 RUTLAND AV
Cincinnati, OH
(39.14541303258068, -84.46735317605533)",SR12052228,CLOSED  ,Pothole repair,POTHOLE,11/28/2012 12:00:00 AM,2:14 PM,1825 RUTLAND AV - GJ1886635945,38,STANDARD,PHONE,5800040006,11/28/2012 12:00:00 AM,CCOLEMAN,11/30/2012 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1410563,423179,
BOND HILL,"5002 GRAFTON AV
Cincinnati, OH
(39.176997222249724, -84.46172342015194)",SR12052213,CLOSED  ,Pothole repair,POTHOLE ,11/28/2012 12:00:00 AM,11:45 AM,DALE RD & GRAFTON AV - GJ1925439474,63,STANDARD,PHONE,01190A020076      ,11/28/2012 12:00:00 AM,CCOLEMAN,11/30/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1412412,434675,
COLUMBIA TUSCULUM,"3611 MORRIS PL
Cincinnati, OH
(39.11434145646837, -84.43694709824473)",SR12052123,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,11/27/2012 12:00:00 AM,10:48 PM,3611 MORRIS PL CINC - GJ2158232590,44,STANDARD,INTERNET,2700010135,11/27/2012 12:00:00 AM,CAGISMOB,11/29/2012 12:00:00 AM,,12/11/2012 12:00:00 AM,12/11/2012 12:00:00 AM,,1418920,411746,
ROSELAWN,"6141 JOYCE LN
Cincinnati, OH
(39.18575825346635, -84.45864897458685)",SR12052083,CLOSED  ,Pothole repair,Please pothole patrol all of Joyce Lane. Thanks!,11/27/2012 12:00:00 AM,3:03 PM,6141 JOYCE LN CINC - GJ1948040549,62.01,STANDARD,INTERNET,11700170002,11/27/2012 12:00:00 AM,CSRWEB,11/29/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1413330,438164,
ROSELAWN,"5994 WANDERLING LN
Cincinnati, OH
(39.18501413038672, -84.45900540918606)",SR12052059,CLOSED  ,Pothole repair,SEVERAL POTHOLES ON JOYCE LN,11/27/2012 12:00:00 AM,1:43 PM,JOYCE LN & SEYMOUR AV - GJ1949240412,62.01,STANDARD,PHONE,11700030239,11/27/2012 12:00:00 AM,CCOLEMAN,11/29/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1413343,437712,
WESTWOOD,"3341 STATHEM AV
Cincinnati, OH
(39.14780522917863, -84.6023234262127)",SR12051945,NEW     ,Pothole repair,SEVERAL POTHOLES ON STATHEM AVE,11/26/2012 12:00:00 AM,3:21 PM,3341 STATHEM AV - GJ0717935929,102.02,STANDARD,PHONE,21000730042,11/26/2012 12:00:00 AM,CCOLEMAN,11/28/2012 12:00:00 AM,,,11/26/2012 12:00:00 AM,,1372274,425031,
RIVERSIDE,"3443 HILLSIDE AV
Cincinnati, OH
(39.084232154927406, -84.58583885341562)",SR12051884,CLOSED  ,Pothole repair,LARGE HAZ POTHOLE,11/26/2012 12:00:00 AM,11:52 AM,3443 HILLSIDE AV - GJ0881528883,103,HAZARDOUS,PHONE,15700600132,11/26/2012 12:00:00 AM,CCOLEMAN,11/28/2012 12:00:00 AM,,11/28/2012 12:00:00 AM,11/28/2012 12:00:00 AM,,1376485,401682,
COLLEGE HILL,"6367 HEITZLER AV
Cincinnati, OH
(39.207520211924134, -84.55100811122082)",SR12051810,CLOSED  ,Pothole repair,A string of Potholes in front of 6315 Heitzler Ave.The largest Pothole is over 2 ft. long.,11/26/2012 12:00:00 AM,7:59 AM,HEITZLER AV & HARBESON AV - GJ1145642650,82.01,STANDARD,EMAIL,24600030078,11/26/2012 12:00:00 AM,SCOLEMAN,11/28/2012 12:00:00 AM,,11/28/2012 12:00:00 AM,11/28/2012 12:00:00 AM,,1387382,446353,
WEST PRICE HILL,"1112 COVEDALE AV
Cincinnati, OH
(39.116005202222595, -84.60728768381443)",SR12051788,CLOSED  ,Pothole repair,Creating a huge problem.,11/25/2012 12:00:00 AM,3:26 PM,1112 COVEDALE AV CINC - GJ0688432376,99.01,STANDARD,INTERNET,18000830066,11/25/2012 12:00:00 AM,CSRWEB,11/27/2012 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1370730,413439,
COLLEGE HILL,"6098 BELMONT AV
Cincinnati, OH
(39.20103610009289, -84.5630949992946)",SR12051780,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,11/24/2012 12:00:00 AM,7:57 PM,6098 BELMONT AV CINC - GJ1044541918,82.02,STANDARD,INTERNET,22800020322,11/24/2012 12:00:00 AM,CSRWEB,11/26/2012 12:00:00 AM,,11/28/2012 12:00:00 AM,11/28/2012 12:00:00 AM,,1383954,444121,
COLUMBIA TUSCULUM,"3708 STEVENS PL
Cincinnati, OH
(39.114692192059806, -84.43325088470431)",SR12051733,NEW     ,Pothole repair,There are several deep potholes at the bend of Stevens Place.  The potholes are so bad they have damaged my car and I have had to had my car worked on twice.,11/23/2012 12:00:00 AM,12:01 PM,3708 STEVENS PL CINC - GJ2192132656,47.01,STANDARD,INTERNET,2700020010,11/23/2012 12:00:00 AM,CSRWEB,11/25/2012 12:00:00 AM,,,11/23/2012 12:00:00 AM,,1420041,411909,
WESTWOOD,"2991 WESTBROOK DR
Cincinnati, OH
(39.13870409024213, -84.60015606012206)",SR12051692,CLOSED  ,Pothole repair,In concret,11/21/2012 12:00:00 AM,3:24 PM,FERGUSON RD & WESTBROOK DR,102.02,STANDARD,INTERNET,20800590272,11/21/2012 12:00:00 AM,CSRWEB,11/23/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1372976,421644,
COLLEGE HILL,"6098 BELMONT AV
Cincinnati, OH
(39.20103610009289, -84.5630949992946)",SR12051621,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,11/21/2012 12:00:00 AM,9:19 AM,6098 BELMONT AV CINC - GJ1044541918,82.02,STANDARD,INTERNET,22800020322,11/21/2012 12:00:00 AM,CSRWEB,11/23/2012 12:00:00 AM,,11/28/2012 12:00:00 AM,11/28/2012 12:00:00 AM,,1383954,444121,
NORTH FAIRMOUNT,"1640 DENHAM ST
Cincinnati, OH
(39.135421564835156, -84.54919148072167)",SR12051601,CLOSED  ,Pothole repair,The pot holes are bad enough to cause tire damage.  If water freezes within the hole it may cause an accident.,11/20/2012 12:00:00 AM,9:48 PM,1640 DENHAM ST CINC - GJ1182734684,86.01,STANDARD,INTERNET,20200400409,11/20/2012 12:00:00 AM,CSRWEB,11/22/2012 12:00:00 AM,,11/28/2012 12:00:00 AM,11/28/2012 12:00:00 AM,,1387301,420196,
COLLEGE HILL,"6098 BELMONT AV
Cincinnati, OH
(39.20103610009289, -84.5630949992946)",SR12051593,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,11/20/2012 12:00:00 AM,4:09 PM,6098 BELMONT AV CINC - GJ1044541918,82.02,STANDARD,INTERNET,22800020322,11/20/2012 12:00:00 AM,CSRWEB,11/22/2012 12:00:00 AM,,11/28/2012 12:00:00 AM,11/28/2012 12:00:00 AM,,1383954,444121,
NORTHSIDE,"4145 DANE AV
Cincinnati, OH
(39.16153787656606, -84.53252704351871)",SR12051590,CLOSED  ,Pothole repair,SR12049495 this service request was confirmed to me as being repaired the pot holes are still there they are along Dane Ave between Spring Grove and Knowlton St.,11/20/2012 12:00:00 AM,3:47 PM,DANE AV & KNOWLTON ST,74,STANDARD,INTERNET,22100190171,11/20/2012 12:00:00 AM,CSRWEB,11/22/2012 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1392252,429496,
EAST END,"200 STRADER AV
Cincinnati, OH
(39.1158163445964, -84.44412368803853)",SR12051528,CLOSED  ,Pothole repair,OnHumbert &Strader  citizen struck a hazardous pothole damaging both Drivers side tires.,11/20/2012 12:00:00 AM,11:06 AM,HUMBERT ST & STRADER AV - GJ2096032727 On Humbert At Strader,44,HAZARDOUS,PHONE,2800020088,11/20/2012 12:00:00 AM,VBANKS,11/22/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1416899,412297,
SOUTH FAIRMOUNT,"1932 HARRISON AV
Cincinnati, OH
(39.13039435469136, -84.56153917218393)",SR12051414,CLOSED  ,Pothole repair,Near the intersection of Harrison & Fairmount Avenues on Harrison Avenue.  You cannot miss it.  There is a car lot on same side of street travelling down hill.  The construction is taking place near it.  They are working on the bend.Possibly provide the w,11/19/2012 12:00:00 AM,3:19 PM,HARRISON AV & FAIRMOUNT AV,89,STANDARD,INTERNET,20300280001,11/19/2012 12:00:00 AM,CSRWEB,11/21/2012 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1383745,418420,
CLIFTON,"341 BRYANT AV
Cincinnati, OH
(39.14552095122417, -84.52111464696691)",SR12051413,CLOSED  ,Pothole repair,POTHOLE,11/19/2012 12:00:00 AM,3:18 PM,341 BRYANT AV - GJ1422335824,71,STANDARD,PHONE,21400040063,11/19/2012 12:00:00 AM,CCOLEMAN,11/21/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1395335,423538,
MOUNT WASHINGTON,"1651 BEACON ST
Cincinnati, OH
(39.08380947357364, -84.38188161039068)",SR12051389,CLOSED  ,Pothole repair,There is a deep depression in the middle of Beacon Street in Mt. Washington.  It  is about six feet long and about 1 1/2 feet wide.It is located at 1647-1651 Beacon Street.,11/19/2012 12:00:00 AM,2:24 PM,1651 BEACON ST CINC - GJ2643129335,46.03,STANDARD,INTERNET,200020374,11/19/2012 12:00:00 AM,CSRWEB,11/21/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1434273,400296,
SPRING GROVE VILLAGE,"4800 SPRING GROVE AV
Cincinnati, OH
(39.16644817484598, -84.51369524022516)",SR12051364,CLOSED  ,Pothole repair,LARGE HAZ POTHOLE AT SPRING GROVE AV & W MITCHELL AV BY THE CAR DEALERSHIP,11/19/2012 12:00:00 AM,1:05 PM,SPRING GROVE AV & W MITCHELL AV - GJ1479138176,73,HAZARDOUS,RADIO,22300040012,11/19/2012 12:00:00 AM,CCOLEMAN,11/21/2012 12:00:00 AM,,11/19/2012 12:00:00 AM,11/19/2012 12:00:00 AM,,1397579,431153,
RIVERSIDE,"3653 HILLSIDE AV
Cincinnati, OH
(39.081246405790125, -84.59341114490235)",SR12051342,CLOSED  ,Pothole repair,Per 486 at 907 Baurichter St 4 potholes were filled,11/19/2012 12:00:00 AM,11:50 AM,BAURICHTER ST & HILLSIDE AV - GJ0816928557,103,STANDARD,PHONE,15800610082,11/19/2012 12:00:00 AM,DSWEETEN,11/21/2012 12:00:00 AM,,11/19/2012 12:00:00 AM,11/19/2012 12:00:00 AM,,1374315,400720,
MILLVALE,"1910 MILLVALE CT
Cincinnati, OH
(39.14840908969479, -84.55160118312627)",SR12051340,CLOSED  ,Pothole repair,LARGE HAZ POTHOLE IN FRONT OF 1910 MILLVALE CT,11/19/2012 12:00:00 AM,11:43 AM,1910 MILLVALE CT - GJ1157936115,77,HAZARDOUS,PHONE,19200660009,11/19/2012 12:00:00 AM,CCOLEMAN,11/21/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1386720,424925,
WALNUT HILLS,"3005 MONFORT ST
Cincinnati, OH
(39.1322829309529, -84.4869134301926)",SR12051270,CLOSED  ,Pothole repair,2 large hazardous potholes ,11/19/2012 12:00:00 AM,7:41 AM,3005 MONFORT ST - GJ1721334473 3005 Monfort st,36,HAZARDOUS,PHONE,6600030062,11/19/2012 12:00:00 AM,VBANKS,11/21/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1404910,418625,
WEST PRICE HILL,"695 PEDRETTI AV
Cincinnati, OH
(39.10728177853838, -84.59849231436789)",SR12051161,CLOSED  ,Pothole repair,SUNKEN PAVEMENT,11/16/2012 12:00:00 AM,3:16 PM,PEDRETTI AV & CARNATION AV,99.02,STANDARD,INTERNET,18000820125,11/16/2012 12:00:00 AM,CSRWEB,11/18/2012 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1373094,410252,
WEST PRICE HILL,"4302 FEHR RD
Cincinnati, OH
(39.09999727010103, -84.59356402964733)",SR12051141,CLOSED  ,Pothole repair,Fehr Road needs repair,11/16/2012 12:00:00 AM,1:23 PM,FEHR RD & TRENTON AV,214.01,STANDARD,INTERNET,17900800211,11/16/2012 12:00:00 AM,CSRWEB,11/18/2012 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1374469,407510,
COLLEGE HILL,"1048 GROESBECK RD
Cincinnati, OH
(39.19310366930536, -84.5336360323948)",SR12051132,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,11/16/2012 12:00:00 AM,12:41 PM,1048 GROESBECK RD CINC - GJ1306441127,81,STANDARD,INTERNET,23700070004,11/16/2012 12:00:00 AM,CSRWEB,11/18/2012 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1392404,441104,
MOUNT WASHINGTON,"6055 TRIDALE CT
Cincinnati, OH
(39.09549166673423, -84.39532647472873)",SR12051064,CLOSED  ,Pothole repair,TWO LARGE HAZ POTHOLES  AT MEADOWBRIGHT LN & TRIDALE CT,11/15/2012 12:00:00 AM,4:34 PM,MEADOWBRIGHT LN & TRIDALE CT - GJ2525130601,46.01,HAZARDOUS,PHONE,400040317,11/15/2012 12:00:00 AM,CCOLEMAN,11/17/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,TMACK,1430610,404633,
AVONDALE,"62 FOREST AV
Cincinnati, OH
(39.23627153720088, -84.47499741330438)",SR12051033,CLOSED  ,Pothole repair,large hazardous pothole by fire hydrant on Tacoma  also  one in the middle of the concrete. Please repair,11/15/2012 12:00:00 AM,2:14 PM,FOREST AV & TACOMA AV - GJ1527836203 On Tacoma @ Forest,69,HAZARDOUS,PHONE,21600480046,11/15/2012 12:00:00 AM,VBANKS,11/17/2012 12:00:00 AM,,11/15/2012 12:00:00 AM,11/15/2012 12:00:00 AM,,1398853,424608,
SPRING GROVE VILLAGE,"731 DERBY AV
Cincinnati, OH
(39.171115656178074, -84.51783212155993)",SR12051019,CLOSED  ,Pothole repair,large hazardous pothole middle of the road outbound,11/15/2012 12:00:00 AM,1:01 PM,731 DERBY AV - GJ1442538685,73,STANDARD,PHONE,21900530090,11/15/2012 12:00:00 AM,DCOTTRELL,11/17/2012 12:00:00 AM,,11/19/2012 12:00:00 AM,11/19/2012 12:00:00 AM,TMACK,1396463,432880,
WINTON HILLS,"5760 CENTER HILL AV
Cincinnati, OH
(39.19101765268647, -84.50019641656536)",SR12050969,CLOSED  ,Pothole repair,SEVERAL HAZ POTHOLES ON HIGHLAND RIDGE DR,11/15/2012 12:00:00 AM,9:39 AM,HIGHLAND RIDGE DR & CENTER HILL AV - GJ1587741009,80,HAZARDOUS,PHONE,23800040036,11/15/2012 12:00:00 AM,CCOLEMAN,11/17/2012 12:00:00 AM,,11/15/2012 12:00:00 AM,11/15/2012 12:00:00 AM,,1401599,440256,
WALNUT HILLS,"3070 GILBERT AV
Cincinnati, OH
(39.136464778389154, -84.48376580309008)",SR12050960,CLOSED  ,Pothole repair,several potholes on Blair from Gilbert to reading- please patrol,11/15/2012 12:00:00 AM,8:56 AM,BLAIR AV & GILBERT AV - GJ1748234946,36,STANDARD,PHONE,6000050125,11/15/2012 12:00:00 AM,DCOTTRELL,11/17/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1405866,420131,
AVONDALE,"3110 HARVEY AV
Cincinnati, OH
(39.13549253830926, -84.49877783914218)",SR12050958,CLOSED  ,Pothole repair,several potholes- please patrol,11/15/2012 12:00:00 AM,8:55 AM,VERNON PL & E MARTIN LUTHER KING JR DR - GJ1617634733,34,STANDARD,PHONE,10600010182,11/15/2012 12:00:00 AM,DCOTTRELL,11/17/2012 12:00:00 AM,,11/20/2012 12:00:00 AM,11/20/2012 12:00:00 AM,,1401553,419649,
CORRYVILLE,"2636 JEFFERSON AV
Cincinnati, OH
(39.12971214397084, -84.51128654995269)",SR12050860,CLOSED  ,Pothole repair,LARGE HAZ POTHOLE ON W CHARLTON ST BETWEEN JEFFERSON AV & VINE ST,11/14/2012 12:00:00 AM,1:43 PM,W CHARLTON ST & JEFFERSON AV - GJ1512134207,33,HAZARDOUS,PHONE,01020004CD01      ,11/14/2012 12:00:00 AM,CCOLEMAN,11/16/2012 12:00:00 AM,,11/19/2012 12:00:00 AM,11/19/2012 12:00:00 AM,TMACK,1398013,418096,
COLLEGE HILL,"6532 DALY RD
Cincinnati, OH
(39.20864436446078, -84.53171765369234)",SR12050837,CLOSED  ,Pothole repair,POTHOLE,11/14/2012 12:00:00 AM,12:02 PM,6532 DALY RD - GJ1314242834,111,STANDARD,PHONE,24700070153,11/14/2012 12:00:00 AM,CCOLEMAN,11/16/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1392934,446681,
COLLEGE HILL,"7901 DALY RD
Cincinnati, OH
(39.213923384772784, -84.53133094521974)",SR12050836,CLOSED  ,Pothole repair,POTHOLE S/B DALY RD @ BRUSHWOOD AV,11/14/2012 12:00:00 AM,12:01 PM,DALY RD & BRUSHWOOD AV - GJ1313043402,111,STANDARD,PHONE,24700050001,11/14/2012 12:00:00 AM,CCOLEMAN,11/16/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1392989,448545,
COLLEGE HILL,"1199 W GALBRAITH RD
Cincinnati, OH
(39.215963722396964, -84.53111609106412)",SR12050835,CLOSED  ,Pothole repair,ONE POTHOLE S/B DALY RD AT GALBRAITH RD,11/14/2012 12:00:00 AM,11:59 AM,DALY RD & W GALBRAITH RD - GJ1314443654,218.01,STANDARD,PHONE,24700050097,11/14/2012 12:00:00 AM,CCOLEMAN,11/16/2012 12:00:00 AM,,11/21/2012 12:00:00 AM,11/21/2012 12:00:00 AM,TMACK,1393075,449366,W 
MOUNT WASHINGTON,"6031 HEIS TER
Cincinnati, OH
(39.08145324985685, -84.39395051202388)",SR12050799,CLOSED  ,Pothole repair,Potholes from 6031 Heis Ter to Sutton Road,11/14/2012 12:00:00 AM,9:41 AM,6031 HEIS TER CINC - GJ2541929029,46.02,STANDARD,INTERNET,300080058,11/14/2012 12:00:00 AM,CSRWEB,11/16/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1430907,399458,
WINTON HILLS,"452 KINGS RUN DR
Cincinnati, OH
(39.17714080056352, -84.5096532258154)",SR12050765,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,11/13/2012 12:00:00 AM,8:32 PM,452 KINGS RUN DR CINC - GJ1508439458,80,STANDARD,INTERNET,22000610003,11/13/2012 12:00:00 AM,CSRWEB,11/15/2012 12:00:00 AM,,11/20/2012 12:00:00 AM,11/20/2012 12:00:00 AM,,1398750,435306,
COLUMBIA TUSCULUM,"561 DELTA AV
Cincinnati, OH
(39.12130220897512, -84.43651542367064)",SR12050679,CLOSED  ,Pothole repair,TWO POTHOLES AT DELTA AV & DELTA TER,11/13/2012 12:00:00 AM,11:19 AM,DELTA AV & DELTA TER - GJ2161933371,49,STANDARD,PHONE,4600040028,11/13/2012 12:00:00 AM,CCOLEMAN,11/15/2012 12:00:00 AM,,12/02/2012 12:00:00 AM,12/02/2012 12:00:00 AM,MPOTTER,1419163,414298,
CBD/RIVERFRONT,"5 I-75 NB EXWY
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",SR12050653,CLOSED  ,Pothole repair,There are 2 large potholes on the ramp from E 6th Street/US 50 to Fort Washington Way.  They are very large - almost the width between the tires.  I drive it every day so I know when to swerve to avoid them but I worry that someone might swerve and get in,11/13/2012 12:00:00 AM,9:57 AM,W 6TH EB ST & FORT WASHINGTON EB WY,4,STANDARD,INTERNET,14500040032,11/13/2012 12:00:00 AM,CSRWEB,11/15/2012 12:00:00 AM,,12/19/2012 12:00:00 AM,12/19/2012 12:00:00 AM,,1394839,406933,
OAKLEY,"3445 CARDIFF AV
Cincinnati, OH
(39.1548828935492, -84.42073232205644)",SR12050617,CLOSED  ,Pothole repair,This pothole was filled with gravel in 2009.  It was filled with pavement in 2010.  That filling has deteriorated and the hole is back and every time a car rolls over it - it spews large chunks of road.,11/13/2012 12:00:00 AM,8:48 AM,3445 CARDIFF AV CINC - GJ2287137114,53,STANDARD,INTERNET,5100040053,11/13/2012 12:00:00 AM,CSRWEB,11/15/2012 12:00:00 AM,,12/05/2012 12:00:00 AM,12/05/2012 12:00:00 AM,,1423878,426358,
WEST END,"2000 LINN ST
Cincinnati, OH
(39.11848733102346, -84.52681634863268)",SR12050608,CLOSED  ,Pothole repair,There are several potholes running down the center of the 800 block of Dayton Street between Linn & Baymiller Streets.,11/13/2012 12:00:00 AM,8:30 AM,LINN ST & DAYTON ST,15,STANDARD,INTERNET,13200030229,11/13/2012 12:00:00 AM,CSRWEB,11/15/2012 12:00:00 AM,,11/28/2012 12:00:00 AM,11/28/2012 12:00:00 AM,,1393530,413896,
WEST PRICE HILL,"4863 GLENWAY AV
Cincinnati, OH
(39.118262500516096, -84.59904989402605)",SR12050538,CLOSED  ,Pothole repair,North bound lane of Rulison as you turn right onto eastbound Cleveswarsaw in passenger side tire tread by the corner curb of UDF. Orange pilon inside pothole in road at the corner.,11/11/2012 12:00:00 AM,10:47 PM,RULISON AV & CLEVES WARSAW PIKE,99.01,STANDARD,INTERNET,01800A800163      ,11/11/2012 12:00:00 AM,CSRWEB,11/13/2012 12:00:00 AM,,11/14/2012 12:00:00 AM,11/14/2012 12:00:00 AM,,1372956,414262,
EAST PRICE HILL,"1011 STURM ST
Cincinnati, OH
(39.111013964959966, -84.57188137552089)",SR12050491,CLOSED  ,Pothole repair,Request entered through the Web. Refer to Intake Questions for further description.,11/09/2012 12:00:00 AM,4:50 PM,1011 STURM ST CINC - GJ0992631904,94,STANDARD,INTERNET,17400080239,11/09/2012 12:00:00 AM,CSRWEB,11/11/2012 12:00:00 AM,,11/14/2012 12:00:00 AM,11/14/2012 12:00:00 AM,,1380620,411401,
CLIFTON,"401 MCALPIN AV
Cincinnati, OH
(39.150134473234516, -84.52206792831794)",SR12050482,CLOSED  ,Pothole repair,It's on that little turnaround loop so I think it gets forgotten.  A little patch would be great.  Heavy use by school parents at drop off time.,11/09/2012 12:00:00 AM,3:57 PM,MCALPIN AV & MIDDLETON AV,71,STANDARD,INTERNET,21500650092,11/09/2012 12:00:00 AM,CSRWEB,11/11/2012 12:00:00 AM,,11/14/2012 12:00:00 AM,11/14/2012 12:00:00 AM,,1395171,425316,
CAMP WASHINGTON,"3060 SIDNEY AV
Cincinnati, OH
(39.14038058996895, -84.536238053754)",SR12050467,CLOSED  ,Pothole repair,This appears to be a sink hole and looks to have been patched before. It is getting deeper. When vehicles turn right from Sidney the vehicle passenger side wheel goes into this hole.,11/09/2012 12:00:00 AM,2:55 PM,STOCK ST & SIDNEY AV,28,STANDARD,INTERNET,18900230064,11/09/2012 12:00:00 AM,CSRWEB,11/11/2012 12:00:00 AM,,11/14/2012 12:00:00 AM,11/14/2012 12:00:00 AM,,1390964,421659,
QUEENSGATE,"1011 W 8TH ST
Cincinnati, OH
(39.10370247686177, -84.53356126385239)",SR12050315,CLOSED  ,Pothole repair, ,11/08/2012 12:00:00 AM,2:39 PM,FREEMAN AV & W 8TH ST - GJ1331131186,1,STANDARD,PHONE,13800040260,11/08/2012 12:00:00 AM,LWHITAKER,11/10/2012 12:00:00 AM,,11/30/2012 12:00:00 AM,11/30/2012 12:00:00 AM,,1391591,408493,W 
