COMMUNITY,Location 1,SR TYPE,CSR #,STATUS,DESCRIPTION,DATE RECEIVED,TIME,LOCATION,CENSUS TRACT,PRIORITY,METHOD,PARCEL_NO,DATE_A,USER_ID,PLANNED COMP,REVISED PLANNED COMP,ACTUAL COMP,DATE OF STATUS,ASSIGNEE,X_COORD,Y_COORD,STREET_DIRECTION
CUF,"525 W MCMILLAN ST
Cincinnati, OH
(39.1291802699518, -84.52978411132938)",Graffiti removal,SR12053120,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/06/2012 12:00:00 AM,12:22 PM,525 W MCMILLAN ST CINC - GJ1354834005,27,STANDARD,INTERNET,9800020093,12/06/2012 12:00:00 AM,CSRWEB,01/05/2013 12:00:00 AM,,,12/06/2012 12:00:00 AM,,1392830,417694,W 
CUF,"347 CALHOUN ST
Cincinnati, OH
(39.12855074453131, -84.5203682096826)",Graffiti removal,SR12053117,NEW     ,Accessible from 349 calhoun,12/06/2012 12:00:00 AM,12:14 PM,347 CALHOUN ST CINC - GJ1433833950,26,STANDARD,INTERNET,10200060090,12/06/2012 12:00:00 AM,CSRWEB,01/05/2013 12:00:00 AM,,,12/06/2012 12:00:00 AM,,1395408,417383,
MOUNT AUBURN,"1827 SYCAMORE ST
Cincinnati, OH
(39.11781283950148, -84.5097022504151)",Graffiti removal,SR12053116,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/06/2012 12:00:00 AM,12:10 PM,1827 SYCAMORE ST CINC - GJ1529632817,23,STANDARD,INTERNET,9400060222,12/06/2012 12:00:00 AM,CSRWEB,01/05/2013 12:00:00 AM,,,12/06/2012 12:00:00 AM,,1398360,413515,
COLUMBIA TUSCULUM,"311 DELTA AV
Cincinnati, OH
(39.11702143611569, -84.43951016602824)",Graffiti removal,SR12053098,CLOSED  ,The stone wall on Delta Av off of Columbia Pkwy,12/06/2012 12:00:00 AM,11:05 AM,DELTA AV & COLUMBIA PKWY - GJ2138332908,49,STANDARD,PHONE,2800040022,12/06/2012 12:00:00 AM,DSWEETEN,01/05/2013 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1418314,412821,
AVONDALE,"20 WEST ST
Cincinnati, OH
(39.1476793240945, -84.51168975209981)",Graffiti removal,SR12053083,NEW     ,Large amount of white graffiti on exhaust vent. The owner of the building is Mr. Kenu (769-2700). The building is the Blue Chip Parking.,12/06/2012 12:00:00 AM,10:11 AM,20 WEST ST CINC - GJ1504236132,69,STANDARD,INTERNET,21600480050,12/06/2012 12:00:00 AM,CSRWEB,01/05/2013 12:00:00 AM,,,12/06/2012 12:00:00 AM,,1398072,424417,
CUF,"2162 STRATFORD AV
Cincinnati, OH
(39.12275911066263, -84.5236687215301)",Graffiti removal,SR12053045,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/05/2012 12:00:00 AM,10:13 PM,2162 STRATFORD AV CINC - GJ1407833326,26,STANDARD,INTERNET,9600020293,12/05/2012 12:00:00 AM,CSRWEB,01/04/2013 12:00:00 AM,,,12/05/2012 12:00:00 AM,,1394454,415383,
CLIFTON,"785 LUDLOW AV
Cincinnati, OH
(39.14695087325077, -84.53109712149211)",Graffiti removal,SR12053021,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,12/05/2012 12:00:00 AM,3:38 PM,785 LUDLOW AV CINC - GJ1333035966,72,STANDARD,INTERNET,21500690039,12/05/2012 12:00:00 AM,CSRWEB,01/04/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1392436,424151,
CUF,"25 CALHOUN ST
Cincinnati, OH
(39.12802014453405, -84.51227431141888)",Graffiti removal,SR12052947,NEW     ,Accessible from Calhoun,12/05/2012 12:00:00 AM,11:01 AM,25 CALHOUN ST CINC - GJ1504133917,33,STANDARD,INTERNET,10200050263,12/05/2012 12:00:00 AM,CSRWEB,01/04/2013 12:00:00 AM,,,12/05/2012 12:00:00 AM,,1397706,417162,
MOUNT AUBURN,"1745 SYCAMORE ST
Cincinnati, OH
(39.11517782595564, -84.51065553176613)",Graffiti removal,SR12052944,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/05/2012 12:00:00 AM,10:52 AM,MULBERRY ST & SYCAMORE ST,23,STANDARD,INTERNET,9400060001,12/05/2012 12:00:00 AM,CSRWEB,01/04/2013 12:00:00 AM,,,12/05/2012 12:00:00 AM,,1398064,412469,
CORRYVILLE,"1 W CORRY ST
Cincinnati, OH
(39.12907295998618, -84.50972389209214)",Graffiti removal,SR12052943,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/05/2012 12:00:00 AM,10:47 AM,1 W CORRY ST CINC - GJ1525734043,33,STANDARD,INTERNET,10200040160,12/05/2012 12:00:00 AM,CSRWEB,01/04/2013 12:00:00 AM,,,12/05/2012 12:00:00 AM,,1398430,417540,W 
CORRYVILLE,"2609 VINE ST
Cincinnati, OH
(39.12951301910266, -84.50968426397452)",Graffiti removal,SR12052941,NEW     ,Accessible from roof of 2607 Vine,12/05/2012 12:00:00 AM,10:42 AM,2609 VINE ST CINC - GJ1524334103,33,STANDARD,INTERNET,10200040123,12/05/2012 12:00:00 AM,CSRWEB,01/04/2013 12:00:00 AM,,,12/05/2012 12:00:00 AM,,1398398,417736,
CBD/RIVERFRONT,"721 MAIN ST
Cincinnati, OH
(39.104573355312105, -84.51058909847427)",Graffiti removal,SR12052903,NEW     ,Spoke to manager at Donatoes (Jason Marksberry) 665-4600. He reported that the owner of the building at 721 Main is Calvin Kaplan (513-739-6000). The city removed another large tag here about 6 months prior.,12/04/2012 12:00:00 AM,7:32 PM,721 MAIN ST CINC - GJ1525031340,7,STANDARD,INTERNET,7900010029,12/04/2012 12:00:00 AM,CSRWEB,01/03/2013 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1397970,408685,
MOUNT ADAMS,"391 BAUM ST
Cincinnati, OH
(39.105555080242084, -84.50134754876291)",Graffiti removal,SR12052893,NEW     ,Graffiti recently appeared - paint cans still on wall...,12/04/2012 12:00:00 AM,5:08 PM,KILGOUR ST & MONASTERY ST,12,STANDARD,INTERNET,7900060100,12/04/2012 12:00:00 AM,CSRWEB,01/03/2013 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1400629,408722,
MOUNT ADAMS,"391 BAUM ST
Cincinnati, OH
(39.105555080242084, -84.50134754876291)",Graffiti removal,SR12052863,NEW     ,Large amount of colored graffiti on the wall is plainly visible from east side of downtown and Sixth Street ramp coming off Columbia Parkway into downtown,12/04/2012 12:00:00 AM,2:28 PM,KILGOUR ST & MONASTERY ST,12,STANDARD,INTERNET,7900060100,12/04/2012 12:00:00 AM,CSRWEB,01/03/2013 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1400629,408722,
BOND HILL,"1701 SHOWCASE DR
Cincinnati, OH
(39.16976667313412, -84.46377387437872)",Graffiti removal,SR12052854,CLOSED  ,GRAFFITI ON THE WOODEN FENCE - PLEASE GIVE CITIZEN A CALL,12/04/2012 12:00:00 AM,2:13 PM,1701 SHOWCASE DR - GJ1898338601,63,STANDARD,PHONE,11600030062,12/04/2012 12:00:00 AM,CCOLEMAN,01/03/2013 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1411382,431862,
OVER-THE-RHINE,"6 W MCMICKEN AV
Cincinnati, OH
(39.11709338187802, -84.51730152156267)",Graffiti removal,SR12052845,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/04/2012 12:00:00 AM,1:39 PM,6 W MCMICKEN AV CINC - GJ1464632717,26,STANDARD,INTERNET,9500030052,12/04/2012 12:00:00 AM,CSRWEB,01/03/2013 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1396218,413295,W 
MOUNT ADAMS,"334 KILGOUR ST
Cincinnati, OH
(39.104529853128724, -84.49967480978842)",Graffiti removal,SR12052825,CLOSED  ,Graffiti on stone city wall above 10 feet,12/04/2012 12:00:00 AM,12:37 PM,334 KILGOUR ST - GJ1620631365,12,STANDARD,PHONE,7900060142,12/04/2012 12:00:00 AM,LSHACKELFORD,01/03/2013 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1401105,408609,
WEST END,"2151 CENTRAL AV
Cincinnati, OH
(39.12134717507661, -84.5310071892892)",Graffiti removal,SR12052817,CLOSED  ,City wall with large graffiti,12/04/2012 12:00:00 AM,12:23 PM,2151 CENTRAL AV - GJ1343833131,14,STANDARD,PHONE,13200010095,12/04/2012 12:00:00 AM,LSHACKELFORD,01/03/2013 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1392323,414844,
NORTHSIDE,"1650 COOPER ST
Cincinnati, OH
(39.15788286744002, -84.54241474722036)",Graffiti removal,SR12052799,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,12/04/2012 12:00:00 AM,11:43 AM,1650 COOPER ST CINC - GJ1233937190,78,STANDARD,INTERNET,19400110257,12/04/2012 12:00:00 AM,CSRWEB,01/03/2013 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1389390,428325,
NORTHSIDE,"1638 BLUE ROCK ST
Cincinnati, OH
(39.16028781894528, -84.5410166434753)",Graffiti removal,SR12052791,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/04/2012 12:00:00 AM,11:31 AM,1638 BLUE ROCK ST CINC - GJ1246037470,78,STANDARD,INTERNET,19400120183,12/04/2012 12:00:00 AM,CSRWEB,01/03/2013 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1389830,429223,
NORTHSIDE,"1619 BLUE ROCK ST
Cincinnati, OH
(39.160206879962686, -84.54070188076508)",Graffiti removal,SR12052790,CLOSED  ,Request entered through the Web. Refer to Intake Questions for further description.,12/04/2012 12:00:00 AM,11:28 AM,1619 BLUE ROCK ST CINC - GJ1248437424,78,STANDARD,INTERNET,22100130008,12/04/2012 12:00:00 AM,CSRWEB,01/03/2013 12:00:00 AM,,12/04/2012 12:00:00 AM,12/04/2012 12:00:00 AM,,1389902,429067,
NORTHSIDE,"1601 BLUE ROCK ST
Cincinnati, OH
(39.16011694775972, -84.53966766043135)",Graffiti removal,SR12052787,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/04/2012 12:00:00 AM,11:26 AM,1601 BLUE ROCK ST CINC - GJ1253637420,78,STANDARD,INTERNET,22100130002,12/04/2012 12:00:00 AM,CSRWEB,01/03/2013 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1390070,429046,
MOUNT AUBURN,"2009 AUBURN AV
Cincinnati, OH
(39.11830746661758, -84.50883890126698)",Graffiti removal,SR12052775,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/04/2012 12:00:00 AM,10:48 AM,2009 AUBURN AV CINC - GJ1535532870,23,STANDARD,INTERNET,8800080111,12/04/2012 12:00:00 AM,CSRWEB,01/03/2013 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1398564,413679,
EAST WALNUT HILLS,"1535 MADISON RD
Cincinnati, OH
(39.12966590384764, -84.47738960990233)",Graffiti removal,SR12052769,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/04/2012 12:00:00 AM,10:37 AM,1535 MADISON RD CINC - GJ1807334182,37,STANDARD,INTERNET,6100010085,12/04/2012 12:00:00 AM,CSRWEB,01/03/2013 12:00:00 AM,,,12/04/2012 12:00:00 AM,,1407680,417534,
NORTHSIDE,"4246 LANGLAND ST
Cincinnati, OH
(39.16484738163388, -84.53795894857569)",Graffiti removal,SR12052708,INPROGRS,Request entered through the Web. Refer to Intake Questions for further description.,12/03/2012 12:00:00 AM,8:18 PM,4246 LANGLAND ST CINC - GJ1272637959,74,STANDARD,INTERNET,19600230112,12/03/2012 12:00:00 AM,CAGISMOB,01/02/2013 12:00:00 AM,,,12/10/2012 12:00:00 AM,,1390781,430782,
NORTHSIDE,"4220 DANE AV
Cincinnati, OH
(39.163759201978394, -84.53259898928104)",Graffiti removal,SR12052689,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/03/2012 12:00:00 AM,3:23 PM,4220 DANE AV CINC - GJ1318437874,74,STANDARD,INTERNET,22200180021,12/03/2012 12:00:00 AM,CAGISMOB,01/02/2013 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1392269,430428,
WALNUT HILLS,"1027 WILLIAM H TAFT RD
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",Graffiti removal,SR12052646,CLOSED  ,graffiti,12/03/2012 12:00:00 AM,12:49 PM,1027 WILLIAM H TAFT RD - GJ1724033876,37,STANDARD,NOD GRAFFITI,6700030058,12/03/2012 12:00:00 AM,ACURRY,01/02/2013 12:00:00 AM,,12/12/2012 12:00:00 AM,12/12/2012 12:00:00 AM,,1404900,416665,
WALNUT HILLS,"2601 PARK AV
Cincinnati, OH
(39.127381625893236, -84.48610404036623)",Graffiti removal,SR12052645,INPROGRS,graffiti,12/03/2012 12:00:00 AM,12:43 PM,2601 PARK AV - GJ1728333925,37,STANDARD,NOD GRAFFITI,6700030119,12/03/2012 12:00:00 AM,ACURRY,01/02/2013 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1405050,416821,
NORTHSIDE,"1619 BLUE ROCK ST
Cincinnati, OH
(39.160206879962686, -84.54070188076508)",Graffiti removal,SR12052630,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/03/2012 12:00:00 AM,11:40 AM,1619 BLUE ROCK ST CINC - GJ1248437424,78,STANDARD,INTERNET,22100130005,12/03/2012 12:00:00 AM,CAGISMOB,01/02/2013 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1389902,429067,
NORTHSIDE,"1601 BLUE ROCK ST
Cincinnati, OH
(39.16011694775972, -84.53966766043135)",Graffiti removal,SR12052628,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/03/2012 12:00:00 AM,11:38 AM,1601 BLUE ROCK ST CINC - GJ1253637420,78,STANDARD,INTERNET,22100130002,12/03/2012 12:00:00 AM,CAGISMOB,01/02/2013 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1390070,429046,
NORTHSIDE,"1667 BLUE ROCK ST
Cincinnati, OH
(39.16043171046999, -84.54274334177154)",Graffiti removal,SR12052627,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/03/2012 12:00:00 AM,11:35 AM,1667 BLUE ROCK ST CINC - GJ1231037448,78,STANDARD,INTERNET,19400120103,12/03/2012 12:00:00 AM,CAGISMOB,01/02/2013 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1389330,429174,
NORTHSIDE,"1677 BLUE ROCK ST
Cincinnati, OH
(39.16047667657148, -84.54317501634563)",Graffiti removal,SR12052625,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/03/2012 12:00:00 AM,11:30 AM,1677 BLUE ROCK ST CINC - GJ1227037451,78,STANDARD,INTERNET,19400120098,12/03/2012 12:00:00 AM,CAGISMOB,01/02/2013 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1389200,429191,
NORTHSIDE,"507 I-75 SB EXWY
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",Graffiti removal,SR12052624,CLOSED  ,If you are looking east from the playground/baseball parking lot at Salway Park towards I-75 the NEW I-75 bridge has CAPER and JOIST written in 12 feet by 8 feet letters.,12/03/2012 12:00:00 AM,11:24 AM,507 I-75 SB EXWY CINC - GJ1399437555,71,STANDARD,INTERNET,O. MI/ER CAN      ,12/03/2012 12:00:00 AM,CSRWEB,01/02/2013 12:00:00 AM,,12/06/2012 12:00:00 AM,12/06/2012 12:00:00 AM,,1394868,429248,
MOUNT AUBURN,"1703 SYCAMORE ST
Cincinnati, OH
(39.11398270315699, -84.51082532442226)",Graffiti removal,SR12052576,NEW     ,Accessible from Schiller,12/03/2012 12:00:00 AM,9:36 AM,1703 SYCAMORE ST CINC - GJ1518332372,17,STANDARD,INTERNET,8600020053,12/03/2012 12:00:00 AM,CSRWEB,01/02/2013 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1397920,412075,
CAMP WASHINGTON,"3104 SPRING GROVE AV
Cincinnati, OH
(39.1375619512649, -84.54175408753935)",Graffiti removal,SR12052547,CLOSED  ,Graffiti under Hopple St Bridge,12/03/2012 12:00:00 AM,7:28 AM,3104 SPRING GROVE AV - GJ1247934896,28,STANDARD,PHONE,18800160039,12/03/2012 12:00:00 AM,LSHACKELFORD,01/02/2013 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1389468,420785,
ANDERSON TOWNSHIP,"420 5TH AV
Cincinnati, OH
(39.1071299998498, -84.50412999989942)",Graffiti removal,SR12052546,CLOSED  ,Graffiti on Mt Adams Steps,12/03/2012 12:00:00 AM,7:04 AM,420 5TH AV - GJ2761435478,249.01,STANDARD,PHONE,50003110019,12/03/2012 12:00:00 AM,LSHACKELFORD,01/02/2013 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1439145,420225,
MOUNT LOOKOUT,"3605 HEEKIN AV
Cincinnati, OH
(39.126940958098885, -84.41575007801413)",Graffiti removal,SR12052545,CLOSED  ,Graffiti under Columbia Pw  Bridge on Heekin,12/03/2012 12:00:00 AM,6:55 AM,3605 HEEKIN AV - GJ2336834043,48,STANDARD,PHONE,2000010078,12/03/2012 12:00:00 AM,LSHACKELFORD,01/02/2013 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2012 12:00:00 AM,,1425004,416214,
MOUNT ADAMS,"391 BAUM ST
Cincinnati, OH
(39.105555080242084, -84.50134754876291)",Graffiti removal,SR12052544,NEW     ,Area effected is approxiamtely 8' x 40' and can easily be observed from Kilgour street neer Monastery.,12/03/2012 12:00:00 AM,5:26 AM,KILGOUR ST & MONASTERY ST,12,STANDARD,INTERNET,7900060100,12/03/2012 12:00:00 AM,CSRWEB,01/02/2013 12:00:00 AM,,,12/03/2012 12:00:00 AM,,1400629,408722,
OAKLEY,"3622 MADISON RD
Cincinnati, OH
(39.159730239287114, -84.41862790850786)",Graffiti removal,SR12052524,INPROGRS,Graffiti is located on a pole at the corner of the intersection where the car wash is located.,12/02/2012 12:00:00 AM,12:28 PM,MADISON RD & CAMBERWELL RD,54,STANDARD,INTERNET,5100020151,12/02/2012 12:00:00 AM,CSRWEB,01/01/2013 12:00:00 AM,,,12/12/2012 12:00:00 AM,,1424568,428189,
MOUNT AUBURN,"2103 VINE ST
Cincinnati, OH
(39.11978235474561, -84.51738246054532)",Graffiti removal,SR12052519,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/02/2012 12:00:00 AM,12:12 AM,2103 VINE ST CINC - GJ1461533017,25,STANDARD,INTERNET,9500050201,12/02/2012 12:00:00 AM,CSRWEB,01/01/2013 12:00:00 AM,,,12/02/2012 12:00:00 AM,,1396163,414283,
OVER-THE-RHINE,"1930 VINE ST
Cincinnati, OH
(39.117929751365295, -84.51715763003796)",Graffiti removal,SR12052518,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/02/2012 12:00:00 AM,12:08 AM,1930 VINE ST CINC - GJ1465932797,17,STANDARD,INTERNET,9400050126,12/02/2012 12:00:00 AM,CSRWEB,01/01/2013 12:00:00 AM,,,12/02/2012 12:00:00 AM,,1396270,413555,
OVER-THE-RHINE,"206 E CLIFTON AV
Cincinnati, OH
(39.11512386663384, -84.51349738937876)",Graffiti removal,SR12052514,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,12/01/2012 12:00:00 AM,11:45 PM,206 E CLIFTON AV CINC - GJ1498132508,17,STANDARD,INTERNET,9400070295,12/01/2012 12:00:00 AM,CSRWEB,12/31/2012 12:00:00 AM,,,12/01/2012 12:00:00 AM,,1397280,412554,E 
WALNUT HILLS,"2412 GILBERT AV
Cincinnati, OH
(39.12488151065179, -84.49086145390123)",Graffiti removal,SR12052386,CLOSED  ,Grafffiti ,11/29/2012 12:00:00 AM,3:19 PM,2412 GILBERT AV - GJ1693733627,19,STANDARD,NOD GRAFFITI,6700010062,11/29/2012 12:00:00 AM,ACURRY,12/29/2012 12:00:00 AM,,12/17/2012 12:00:00 AM,12/17/2012 12:00:00 AM,,1403866,415901,
WALNUT HILLS,"795 E MCMILLAN ST
Cincinnati, OH
(39.125923388409504, -84.49079696460193)",Graffiti removal,SR12052384,INPROGRS,Graffiti,11/29/2012 12:00:00 AM,3:08 PM,795 E MCMILLAN ST - GJ1689833743,21,STANDARD,NOD GRAFFITI,6800030220,11/29/2012 12:00:00 AM,ACURRY,12/29/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1403760,416287,E 
WALNUT HILLS,"791 E MCMILLAN ST
Cincinnati, OH
(39.125969690307215, -84.49130212169558)",Graffiti removal,SR12052383,INPROGRS,Graffiti,11/29/2012 12:00:00 AM,3:07 PM,791 E MCMILLAN ST - GJ1688633743,21,STANDARD,NOD GRAFFITI,6800030209,11/29/2012 12:00:00 AM,ACURRY,12/29/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1403720,416288,E 
BOND HILL,"5000 PADDOCK RD
Cincinnati, OH
(39.17777142237819, -84.47755051489638)",Graffiti removal,SR12052380,NEW     ,it reads NC it is on serveal bus stops and no parking signs in the are of 5000 Paccock,11/29/2012 12:00:00 AM,2:50 PM,5000 PADDOCK RD CINC - GJ1791339561,64,STANDARD,INTERNET,13100060128,11/29/2012 12:00:00 AM,CSRWEB,12/29/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1408035,435183,
OVER-THE-RHINE,"1346 MAIN ST
Cincinnati, OH
(39.11120201853564, -84.5120741211923)",Graffiti removal,SR12052341,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/29/2012 12:00:00 AM,11:56 AM,1346 MAIN ST CINC - GJ1512032053,10,STANDARD,INTERNET,7500040316,11/29/2012 12:00:00 AM,CSRWEB,12/29/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1397660,411043,
OVER-THE-RHINE,"1400 MAIN ST
Cincinnati, OH
(39.11142801670517, -84.51214479020013)",Graffiti removal,SR12052340,NEW     ,Accessible from Goetz Alley,11/29/2012 12:00:00 AM,11:55 AM,1400 MAIN ST CINC - GJ1511332074,10,STANDARD,INTERNET,7500040093,11/29/2012 12:00:00 AM,CSRWEB,12/29/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1397640,411112,
OVER-THE-RHINE,"154 E MCMICKEN AV
Cincinnati, OH
(39.11346911409993, -84.51305672158435)",Graffiti removal,SR12052337,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/29/2012 12:00:00 AM,11:52 AM,154 E MCMICKEN AV CINC - GJ1502632325,17,STANDARD,INTERNET,9400070231,11/29/2012 12:00:00 AM,CSRWEB,12/29/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1397396,411948,E 
CORRYVILLE,"2816 JEFFERSON AV
Cincinnati, OH
(39.132354876715226, -84.51102425379815)",Graffiti removal,SR12052335,NEW     ,Request entered through the Web. Refer to Intake Questions for further description.,11/29/2012 12:00:00 AM,11:48 AM,2816 JEFFERSON AV CINC - GJ1516334413,33,STANDARD,INTERNET,10200020185,11/29/2012 12:00:00 AM,CSRWEB,12/29/2012 12:00:00 AM,,,11/29/2012 12:00:00 AM,,1398187,418765,
NORTHSIDE,"3728 SPRING GROVE AV
Cincinnati, OH
(39.15493685287095, -84.54116053500002)",Graffiti removal,SR12052287,CLOSED  ,Graffiti on wall of  I74  Ramp over Spring Grove Ave,11/29/2012 12:00:00 AM,8:34 AM,3728 SPRING GROVE AV - GJ1250236822,78,STANDARD,PHONE,19300010015,11/29/2012 12:00:00 AM,LSHACKELFORD,12/29/2012 12:00:00 AM,,11/29/2012 12:00:00 AM,11/29/2012 12:00:00 AM,,1389860,427090,
WEST END,"1127 DAYTON ST
Cincinnati, OH
(39.118613236107535, -84.53411884351056)",Graffiti removal,SR12052282,CLOSED  ,This graffiti was redone last night. Paint cans remain for possible fingerprint evidence. This wall was recently tagged and cleaned up. The taggers returned last night.,11/29/2012 12:00:00 AM,8:10 AM,1127 DAYTON ST CINC - GJ1318032812,14,STANDARD,INTERNET,18400050125,11/29/2012 12:00:00 AM,CSRWEB,12/29/2012 12:00:00 AM,,12/10/2012 12:00:00 AM,12/10/2012 12:00:00 AM,,1391429,413846,
CUF,"2300 STRATFORD AV
Cincinnati, OH
(39.12512432759968, -84.52305718255019)",Graffiti removal,SR12052267,NEW     ,Large tag on west side smaller tags on south and east side.,11/28/2012 12:00:00 AM,4:46 PM,2300 STRATFORD AV CINC - GJ1412633577,26,STANDARD,INTERNET,10000010183,11/28/2012 12:00:00 AM,CSRWEB,12/28/2012 12:00:00 AM,,,11/28/2012 12:00:00 AM,,1394652,416197,
CUF,"2869 W MCMICKEN AV
Cincinnati, OH
(39.13385674450416, -84.53118705369508)",Graffiti removal,SR12052189,NEW     ,GRAFFITI ON RETAINING WALL,11/28/2012 12:00:00 AM,10:59 AM,2869 W MCMICKEN AV - GJ1336934534,29,STANDARD,PHONE,9800010049,11/28/2012 12:00:00 AM,CCOLEMAN,12/28/2012 12:00:00 AM,,,11/28/2012 12:00:00 AM,,1392326,419453,W 
WEST PRICE HILL,"4323 GLENWAY AV
Cincinnati, OH
(39.1137838768102, -84.58584784663594)",Graffiti removal,SR12052137,NEW     ,The wall in the back of the building  by the Kindergarden playground,11/28/2012 12:00:00 AM,8:33 AM,4323 GLENWAY AV - GJ0870832090 4323 Glenway Ave,97,STANDARD,PHONE,17900750279,11/28/2012 12:00:00 AM,VBANKS,12/28/2012 12:00:00 AM,,,11/28/2012 12:00:00 AM,,1376660,412207,
